	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d
	LEFT FOOT ON	RIGHT FOOT ON	ANALOGTIME	FRAMES	TIME
	EVENT_LABEL	EVENT_LABEL	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	1.1178	0.9666	0	1	0
2	3.0699	2.7081	0.00675	2	0.00675
3	3.7773	3.4344	0.0135	3	0.0135
4	4.52385	4.16205	0.02025	4	0.02025
5	5.2677	4.8951	0.027	5	0.027
6	5.9859	5.6133	0.03375	6	0.03375
7	6.71355	6.3396	0.0405	7	0.0405
8	7.182	7.08615	0.04725	8	0.04725
9	7.4682	7.8084	0.054	9	0.054
10	8.13375	8.52525	0.06075	10	0.06075
11	8.87625	9.2448	0.0675	11	0.0675
12	9.61065	9.96165	0.07425	12	0.07425
13	10.3302004	10.67715	0.081	13	0.081
14	11.0565006	11.43315	0.08775	14	0.08775
15	11.5506	12.17025	0.0945	15	0.0945
16	11.8611	12.8736004	0.10125	16	0.10125
17	12.4983	13.5850506	0.108	17	0.108
18	13.2192	14.3181	0.11475	18	0.11475
19	13.96035	15.0552	0.1215	19	0.1215
20	14.68935	15.7936496	0.12825	20	0.12825
21	15.42105	16.515899	0.135	21	0.135
22	16.1352	17.2192494	0.14175	22	0.14175
23	16.83045	17.90505	0.1485	23	0.1485
24	17.5540504	18.60165	0.15525	24	0.15525
25	18.2655006	19.30905	0.162	25	0.162
26	18.9567	20.0583	0.16875	26	0.16875
27	19.4076004	20.8035	0.1755	27	0.1755
28	19.7154006	21.50415	0.18225	28	0.18225
29	20.1554996	21.9469504	0.189	29	0.189
30	20.2175994	22.2534006	0.19575	30	0.19575
31	20.5011	22.93515	0.2025	31	0.2025
32	21.15315	23.6601	0.20925	32	0.20925
33	21.85515	24.3864	0.216	33	0.216
34	22.5882	25.0951496	0.22275	34	0.22275
35	23.32665	25.7863498	0.2295	35	0.2295
36	24.0354	26.487001	0.23625	36	0.23625
37	24.7374	27.201151	0.243	37	0.243
38	25.4353504	27.9126006	0.24975	38	0.24975
39	26.1157506	28.62945	0.2565	39	0.2565
40	26.8380004	29.3679	0.26325	40	0.26325
41	27.572401		0.27	41	0.27
42	28.2838506		0.27675	42	0.27675
43	29.450251		0.2835	43	0.2835
44			0.29025	44	0.29025
45			0.297	45	0.297
46			0.30375	46	0.30375
47			0.3105	47	0.3105
48			0.31725	48	0.31725
49			0.324	49	0.324
50			0.33075	50	0.33075
51			0.3375	51	0.3375
52			0.34425	52	0.34425
53			0.351	53	0.351
54			0.35775	54	0.35775
55			0.3645	55	0.3645
56			0.37125	56	0.37125
57			0.378	57	0.378
58			0.38475	58	0.38475
59			0.3915	59	0.3915
60			0.39825	60	0.39825
61			0.405	61	0.405
62			0.41175	62	0.41175
63			0.4185	63	0.4185
64			0.42525	64	0.42525
65			0.432	65	0.432
66			0.43875	66	0.43875
67			0.4455	67	0.4455
68			0.45225	68	0.45225
69			0.459	69	0.459
70			0.46575	70	0.46575
71			0.4725	71	0.4725
72			0.47925	72	0.47925
73			0.486	73	0.486
74			0.49275	74	0.49275
75			0.4995	75	0.4995
76			0.50625	76	0.50625
77			0.513	77	0.513
78			0.51975	78	0.51975
79			0.5265	79	0.5265
80			0.53325	80	0.53325
81			0.54	81	0.54
82			0.54675	82	0.54675
83			0.5535	83	0.5535
84			0.56025	84	0.56025
85			0.567	85	0.567
86			0.57375	86	0.57375
87			0.5805	87	0.5805
88			0.58725	88	0.58725
89			0.594	89	0.594
90			0.60075	90	0.60075
91			0.6075	91	0.6075
92			0.61425	92	0.61425
93			0.621	93	0.621
94			0.62775	94	0.62775
95			0.6345	95	0.6345
96			0.64125	96	0.64125
97			0.648	97	0.648
98			0.65475	98	0.65475
99			0.6615	99	0.6615
100			0.66825	100	0.66825
101			0.675	101	0.675
102			0.68175	102	0.68175
103			0.6885	103	0.6885
104			0.69525	104	0.69525
105			0.702	105	0.702
106			0.70875	106	0.70875
107			0.7155	107	0.7155
108			0.72225	108	0.72225
109			0.729	109	0.729
110			0.73575	110	0.73575
111			0.7425	111	0.7425
112			0.74925	112	0.74925
113			0.756	113	0.756
114			0.76275	114	0.76275
115			0.7695	115	0.7695
116			0.77625	116	0.77625
117			0.783	117	0.783
118			0.78975	118	0.78975
119			0.7965	119	0.7965
120			0.80325	120	0.80325
121			0.81	121	0.81
122			0.81675	122	0.81675
123			0.8235	123	0.8235
124			0.83025	124	0.83025
125			0.837	125	0.837
126			0.84375	126	0.84375
127			0.8505	127	0.8505
