	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_1.10_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_1.10_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_1.10_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_2.11_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_2.11_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_2.11_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_3.12_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_3.12_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_3.12_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_4.13_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_4.13_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_180_5_x_30_sec_Rep_4.13_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_1.0_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_1.0_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_1.0_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_2.1_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_2.1_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_2.1_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_4.3_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_4.3_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_4.3_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_5.4_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_5.4_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_5.4_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_1.5_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_1.5_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_1.5_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_2.6_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_2.6_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_2.6_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_3.7_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_3.7_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_3.7_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_4.8_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_4.8_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_4.8_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_5.9_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_5.9_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_6x4_5_x_30_sec_Rep_5.9_148_1481Hz.c3d
	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	LEFT FOOT ON	RIGHT FOOT ON	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME	ANALOGTIME	FRAMES	TIME
	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	EVENT_LABEL	EVENT_LABEL	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	2.794500	2.416500	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000
2	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	3.483000	3.145500	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750	0.006750	2.000000	0.006750
3	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	4.218750	3.867750	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500	0.013500	3.000000	0.013500
4	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	4.981500	4.603500	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250	0.020250	4.000000	0.020250
5	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	5.697000	5.332500	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000	0.027000	5.000000	0.027000
6	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	6.419250	6.034500	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750	0.033750	6.000000	0.033750
7	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	7.155000	6.797250	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500	0.040500	7.000000	0.040500
8	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	7.222500	7.519500	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250	0.047250	8.000000	0.047250
9	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	7.836750	8.241750	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000	0.054000	9.000000	0.054000
10	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	8.579250	8.950500	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750	0.060750	10.000000	0.060750
11	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	9.321750	9.686250	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500	0.067500	11.000000	0.067500
12	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	10.044000	10.374750	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250	0.074250	12.000000	0.074250
13	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	10.759501	11.130750	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000	0.081000	13.000000	0.081000
14	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	11.502000	11.886750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750	0.087750	14.000000	0.087750
15	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	11.623500	12.595500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500	0.094500	15.000000	0.094500
16	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	12.217500	13.290751	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250	0.101250	16.000000	0.101250
