	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\EMGWorks\C3DFiles_01-20\TAFT_P5_3x4_5_x_30_sec_Rep_3.2.c3d
	END_TRIAL	FSR_XMin	FSR_YMin	LEFT FOOT OFF	LEFT FOOT ON	RIGHT FOOT OFF	RIGHT FOOT ON	START_TRIAL	TurnOff	TurnOn
	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X
1	29.997	4.4685	2.538	2.7945	1.1205	2.4165	0.96525	0	1.64025	1.3635
2			4.4685	3.483	3.07125	3.1455	2.70675	1.998	3.753	3.4965
3				4.21875	3.78	3.86775	3.43575		5.98725	5.67
4				4.9815	4.5225	4.6035	4.16475		8.16075	7.884
5				5.697	5.265	5.3325	4.89375		10.37475	10.071
6				6.41925	5.98725	6.0345	5.616		12.52125	12.19725
7				7.155	6.71625	6.79725	6.33825		14.73525	14.4315
8				7.2225	7.182	7.5195	7.0875		16.88175	16.557751
9				7.83675	7.4655	8.24175	7.80975		18.981001	18.738001
10				8.57925	8.13375	8.9505	8.52525		21.22875	20.844
11				9.32175	8.87625	9.68625	9.2475		23.409	23.058001
12				10.044	9.612	10.37475	9.963		26.1765	25.832251
13				10.759501	10.3275	11.13075	10.6785		28.323	28.005751
14				11.502	11.0565	11.88675	11.4345			
15				11.6235	11.54925	12.5955	12.17025			
16				12.2175	11.85975	13.290751	12.87225			
17				12.9195	12.501	14.0265	13.58775			
18				13.66875	13.2165	14.7555	14.316751			
19				14.39775	13.959	15.50475	15.0525			
20				15.12675	14.688	16.226999	15.795			
21				15.8625	15.42375	16.949249	16.51725			
22				16.54425	16.1325	17.62425	17.21925			
23				17.25975	16.827749	18.32625	17.907749			
24				17.995501	17.556749	19.01475	18.603001			
25				18.6705	18.265501	19.7505	19.31175			
26				19.386	18.954	20.52	20.061001			
27				19.440001	19.40625	21.22875	20.803499			
28				20.1285	19.716749	21.91725	21.505501			
29				20.195999	20.1555	21.991501	21.94425			
30				20.25	20.216249	22.64625	22.254749			
31				20.87775	20.49975	23.3685	22.936501			
32				21.56625	21.154501	24.0975	23.658751			
33				22.2885	21.856501	24.81975	24.387751			
34				23.03775	22.585501	25.508249	25.0965			
35				23.76	23.328001	26.203501	25.785			
36				24.4485	24.036751	26.912251	26.487			
37				25.17075	24.73875	27.634501	27.202499			
38				25.832251	25.434	28.32975	27.911249			
39				26.541	26.115749	29.079	28.626751			
40				27.283501	26.837999	29.80125	29.369249			
41				28.005751	27.57375					
42				28.701	28.282499					
43				29.450251	29.450251					
