LEFT FOOT ON
File	Item	Time
TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	1	2.794500
 - 	2	3.483000
 - 	3	4.218750
 - 	4	4.981500
 - 	5	5.697000
 - 	6	6.419250
 - 	7	7.155000
 - 	8	7.222500
 - 	9	7.836750
 - 	10	8.579250
 - 	11	9.321750
 - 	12	10.044000
 - 	13	10.759501
 - 	14	11.502000
 - 	15	11.623500
 - 	16	12.217500
 - 	17	12.919500
 - 	18	13.668750
 - 	19	14.397750
 - 	20	15.126750
 - 	21	15.862500
 - 	22	16.544250
 - 	23	17.259750
 - 	24	17.995501
 - 	25	18.670500
 - 	26	19.386000
 - 	27	19.440001
 - 	28	20.128500
 - 	29	20.195999
 - 	30	20.250000
 - 	31	20.877750
 - 	32	21.566250
 - 	33	22.288500
 - 	34	23.037750
 - 	35	23.760000
 - 	36	24.448500
 - 	37	25.170750
 - 	38	25.832251
 - 	39	26.541000
 - 	40	27.283501
 - 	41	28.005751
 - 	42	28.701000
 - 	43	29.450251
