RIGHT FOOT ON
File	Item	Time
TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	1	2.416500
 - 	2	3.145500
 - 	3	3.867750
 - 	4	4.603500
 - 	5	5.332500
 - 	6	6.034500
 - 	7	6.797250
 - 	8	7.519500
 - 	9	8.241750
 - 	10	8.950500
 - 	11	9.686250
 - 	12	10.374750
 - 	13	11.130750
 - 	14	11.886750
 - 	15	12.595500
 - 	16	13.290751
 - 	17	14.026500
 - 	18	14.755500
 - 	19	15.504750
 - 	20	16.226999
 - 	21	16.949249
 - 	22	17.624250
 - 	23	18.326250
 - 	24	19.014750
 - 	25	19.750500
 - 	26	20.520000
 - 	27	21.228750
 - 	28	21.917250
 - 	29	21.991501
 - 	30	22.646250
 - 	31	23.368500
 - 	32	24.097500
 - 	33	24.819750
 - 	34	25.508249
 - 	35	26.203501
 - 	36	26.912251
 - 	37	27.634501
 - 	38	28.329750
 - 	39	29.079000
 - 	40	29.801250
