	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\CalibrationSettingsVicon\12_09_2020_TurningFinger\C3d\Straightdeg01.c3d
	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	10.863436	-1.607884	6.352699	-0.510471	-3.845890	7.541924	3.866561	-5.891714	8.712315	0.779833	4.600417	-11.161908	3.693341	-1.747511	16.937696	-4.021194	5.849472	52.836781	0.464121	245.543945	0.464121	0.464121	0.202234	-0.277302	-0.234287
2	10.593578	-2.106445	6.796329	-0.705415	-4.620040	8.113091	3.831290	-6.178024	8.742585	2.372118	4.231311	-9.501834	5.439170	0.122918	17.011692	-3.624836	8.479453	62.440754	0.464121	243.623154	0.464121	0.464121	0.069676	-0.099582	1.170441
3	10.330276	-2.405895	7.360999	-1.187690	-5.590440	8.690017	3.616270	-6.106807	8.896307	4.401806	2.372683	-8.367616	5.939202	2.449943	17.011692	-3.765637	10.543117	72.044724	0.464121	241.531799	0.464121	0.464121	0.070748	-0.144999	0.120443
4	10.013011	-2.361419	8.073572	-1.664176	-6.669260	8.988195	3.599672	-5.592478	9.181551	5.265474	0.503930	-9.281443	5.168602	4.086887	17.076847	-4.399615	11.191401	82.486649	0.464121	238.859100	0.464121	0.464121	0.291801	-0.233099	-0.759326
5	9.675243	-2.063143	8.895296	-1.933384	-7.700076	8.871303	4.043184	-4.782616	9.770933	4.695666	-0.607778	-10.915421	4.237951	3.732857	17.429636	-5.928113	10.987189	94.981613	0.464121	236.142563	0.464121	0.464121	0.424725	0.078376	0.645882
6	9.390286	-1.981068	9.804059	-1.989130	-8.745198	8.384306	5.100879	-3.930327	10.528574	3.560946	-0.929618	-11.838445	3.843357	1.729400	18.339659	-7.983460	10.802387	106.203682	0.464121	233.833481	0.464121	0.464121	0.203630	-0.101390	-0.930953
7	9.217542	-2.217638	10.766236	-1.776403	-9.736429	7.690877	6.702548	-3.333485	10.968116	3.127832	-1.137513	-11.846664	3.711329	-0.270014	20.460108	-10.572042	11.212516	117.981720	0.464121	231.029282	0.464121	0.464121	0.202466	0.033167	0.295113
